Country,country_ISO,Pop_2016,meanop_pop,deciles
Qatar,QAT,2570000,0,5
Republic of Korea,KOR,50792000,2,9
Romania,ROU,19778000,1,8
Russian Federation,RUS,143965000,0,5
Rwanda,RWA,11918000,0,4
Saint Kitts & Nevis,KNA,55000,0,1
Saint Lucia,LCA,178000,0,1
Saint Vincent & the Grenadines,VCT,110000,1,7
Samoa,WSM,195000,0,1
San Marino,SMR,33000,,
Sao Tome & Principe,STP,200000,0,1
Saudi Arabia,SAU,32276000,1,7
Senegal,SEN,15412000,0,4
Serbia,SRB,8820000,1,8
Seychelles,SYC,94000,2,9
Sierra Leone,SLE,7396000,0,2
Singapore,SGP,5622000,0,6
Slovakia,SVK,5444000,1,8
Slovenia,SVN,2078000,6,10
Solomon Islands,SLB,599000,0,4
Somalia,SOM,14318000,0,1
South Africa,ZAF,56015000,2,8
South Sudan,SSD,0,0,1
Spain,ESP,46348000,5,9
Sri Lanka,LKA,20798000,1,7
Sudan,SDN,39579000,0,3
Suriname,SUR,558000,0,3
Sweden,SWE,9838000,10,10
Switzerland,CHE,8402000,20,10
Syrian Arab Republic,SYR,18430000,0,5
Tajikistan,TJK,8735000,0,3
Tanzania (United Republic of),TZA,55572000,0,4
Thailand,THA,68864000,0,6
Timor-Leste,TLS,1269000,0,7
Togo,TGO,7606000,0,3
Tonga,TON,107000,0,6
Trinidad & Tobago,TTO,1365000,1,8
Tunisia,TUN,11403000,0,5
Turkey,TUR,79512000,0,6
Turkmenistan,TKM,5663000,0,3
Tuvalu,TUV,11000,0,5
UK,GBR,65789000,12,10
USA,USA,322180000,40,10
Uganda,UGA,41488000,0,5
Ukraine,UKR,44439000,1,8
United Arab Emirates,ARE,9270000,0,5
Uruguay,URY,3444000,1,7
Uzbekistan,UZB,31447000,0,3
Vanuatu,VUT,270000,0,1
Venezuela (Bolivarian Rep. of),VEN,31568000,0,3
Viet Nam,VNM,94569000,2,9
Yemen,YEM,27584000,0,1
Zambia,ZMB,16591000,0,5
Zimbabwe,ZWE,16150000,0,5
