Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Haiti,HTI,America (Central & Carribbean),America,0,,,0,,,,,0,,,,,0,,,,,,,0,,2
Honduras,HND,America (Central & Carribbean),America,0,,,0,,,,,0,,,0,,0,,,,,0,,0,,4
Hungary,HUN,Europe (west),Europe,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,7
Iceland,ISL,Europe (west),Europe,43,0,,0,0,0,0,,3,,0,3,,0,,0,0,0,,,36,,10
India,IND,Asia (South),Asia,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4
Indonesia,IDN,Asia (East & South East),Asia,0,,,0,,0,0,,0,,0,0,,0,,,,0,0,,0,,4
Iran (Islamic Republic of),IRN,Asia (west),Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6
Iraq,IRQ,Asia (west),Asia,0,0,,0,,,0,,0,,,,,0,,,,,,,0,,1
Ireland,IRL,Europe (west),Europe,12,,,0,0,0,0,,3,0,0,4,0,0,,0,0,5,0,0,0,0,10
Israel,ISR,Asia (west),Asia,9,,,0,0,,0,,1,0,0,6,,0,,0,,2,0,0,0,,10
Italy,ITA,Europe (west),Europe,6,0,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,2,0,0,0,1,9
Jamaica,JAM,America (Central & Carribbean),America,1,,,0,0,,0,,0,,,0,,1,,,,0,0,,0,,7
Japan,JPN,Asia (East & South East),Asia,1,,,0,0,0,0,,0,0,0,1,0,0,,0,,0,0,0,0,,8
Jordan,JOR,Asia (west),Asia,0,0,,0,,,0,,0,,0,0,0,0,,0,,0,0,,0,,6
Kazakhstan,KAZ,Asia (west),Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kenya,KEN,Africa,Africa,0,,,0,0,,0,,0,,0,0,0,0,,,,0,0,0,0,,5
Kiribati,KIR,Oceania,Oceania,0,,,0,,,,,0,,,,,0,,,,,,,0,,3
Kuwait,KWT,Asia (west),Asia,0,0,,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,6
Kyrgyzstan,KGZ,Asia (west),Asia,1,,,0,,,,0,0,0,,,,,,0,,1,0,,0,,7
Lao People's Democratic Republic,LAO,Asia (East & South East),Asia,0,,,0,,,,,0,0,,,,0,,,,,0,,0,,3
Latvia,LVA,Europe (west),Europe,1,,,0,0,0,0,0,0,0,0,0,,0,,,,1,0,0,0,,8
Lebanon,LBN,Asia (west),Asia,0,,,0,0,0,0,,0,0,,0,,0,,0,,,0,,0,,6
Lesotho,LSO,Africa,Africa,0,,,0,,,,,0,,,,,0,,,,,,,,,1
Liberia,LBR,Africa,Africa,0,,,0,,,,,0,,,,0,0,,,,0,0,,0,,1
Libya,LBY,Africa,Africa,0,,,0,0,,0,,0,,,,0,0,,,,,,,0,,3
Liechtenstein,LIE,Europe (west),Europe,,,,,,,0,,,,,,,,,,,,,,,,
